eventid,iyear,imonth,iday,provstate,city,latitude,longitude,vicinity,crit1,crit2,crit3,doubtterr,alternative_txt,multiple,success,suicide,attacktype1_txt,attacktype2_txt,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,targtype2_txt,targsubtype2_txt,corp2,target2,natlty2_txt,targtype3_txt,targsubtype3_txt,corp3,target3,natlty3_txt,gname,gname2,gsubname2,individual,nperps,nperpcap,claimed,claimmode_txt,weaptype1_txt,weapsubtype1_txt,weaptype2_txt,weapsubtype2_txt,weaptype3_txt,weapsubtype3_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent_txt,ishostkid,nhostkid,nhostkidus,nhours,ransom,hostkidoutcome,hostkidoutcome_txt,nreleased,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,Twitter
201508010105,2015,8,1,Louisiana,New Orleans,29.950112,-90.096663,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Abortion Related,Clinics,"Planned Parenthood Federation of America, Inc.",Clinic Construction Site,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201508020114,2015,8,2,New Mexico,Las Cruces,32.294582,-106.754459,0,1,1,1,0,,1,1,0,Bombing/Explosion,,Religious Figures/Institutions,Place of Worship,Calvary Baptist Church,Church,United States,,,,,,,,,,,Unknown,,,0,1,0,0,,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201508020115,2015,8,2,New Mexico,Las Cruces,32.319945,-106.790007,0,1,1,1,0,,1,1,0,Bombing/Explosion,,Religious Figures/Institutions,Place of Worship,Holy Cross Catholic Church,Church,United States,,,,,,,,,,,Unknown,,,0,1,0,0,,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201508140093,2015,8,14,New Mexico,Las Cruces,32.292512,-106.773223,0,1,1,1,0,,0,0,0,Bombing/Explosion,,Religious Figures/Institutions,Place of Worship,First Presbyterian Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Explosives/Bombs/Dynamite,Other Explosive Type,,,,,0,0,0,0,0,0,0,,0,,,,,,,,-9,-9,0,-9,0
201509040048,2015,9,4,Washington,Pullman,46.715956,-117.179453,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Abortion Related,Clinics,"Planned Parenthood Federation of America, Inc.",Building,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201509130079,2015,9,13,Texas,Bullard,32.137933,-95.323685,0,1,1,1,0,,0,0,0,Armed Assault,,Religious Figures/Institutions,Place of Worship,Corinth Missionary Baptist Church,Church,United States,,,,,,,,,,,Muslim extremists,,,1,1,1,1,Personal claim,Firearms,Unknown Gun Type,,,,,0,0,0,0,0,0,0,,0,,,,,,,,-9,-9,0,-9,0
201509300082,2015,9,30,California,Thousand Oaks,34.184851,-118.90688,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Abortion Related,Clinics,"Planned Parenthood Federation of America, Inc.",Facility,United States,,,,,,,,,,,Unknown,,,0,1,0,0,,Incendiary,Gasoline or Alcohol,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201511010076,2015,11,1,Mississippi,Tupelo,34.308638,-88.709435,0,1,1,1,0,,0,1,0,Bombing/Explosion,,Business,Retail/Grocery/Bakery,Walmart,Store,United States,,,,,,,,,,,Right-wing extremists,,,1,1,1,1,"Posted to website, blog, etc.",Explosives/Bombs/Dynamite,Other Explosive Type,,,,,0,0,0,0,0,0,-9,,0,,,,,,,,-9,-9,0,-9,0
201511040056,2015,11,4,California,Merced,37.365797,-120.424771,0,1,1,1,0,,0,1,0,Armed Assault,,Educational Institution,School/University/Educational Building,"University of California, Merced",Campus,United States,,,,,,,,,,,Jihadi-inspired extremists,,,1,1,0,1,Note left at scene,Melee,Knife or Other Sharp Object,,,,,1,1,1,4,4,0,0,,0,,,,,,,,-9,-9,0,-9,1
201511060053,2015,11,6,California,Ingelwood,33.959535,-118.348342,0,1,1,1,0,,0,1,0,Unarmed Assault,,Private Citizens & Property,Religion Identified,Not Applicable,Sikh Civilian: Balwinder Jit Singh,United States,,,,,,,,,,,Anti-Sikh extremists,,,1,1,1,1,Personal claim,Melee,"Hands, Feet, Fists",,,,,0,0,0,1,1,0,0,,0,,,,,,,,-9,-9,0,-9,0
